City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Puerto Carreno,CO,6.189,-67.4859,77.88,87,100,5.32,light rain
177,Mazyr,BY,52.0495,29.2456,38.82,76,6,6.93,clear sky
178,Fort Nelson,CA,58.8053,-122.7002,54.99,22,40,2.3,scattered clouds
179,Bacolod,PH,10.6667,122.95,89.47,57,83,4.99,broken clouds
180,Camana,PE,-16.6228,-72.7111,66.38,90,59,7.05,broken clouds
181,Atasu,KZ,48.6814,71.6433,59.65,67,3,8.77,clear sky
182,Vestmannaeyjar,IS,63.4427,-20.2734,40.39,72,52,26.89,broken clouds
183,Ponta Delgada,PT,37.7333,-25.6667,67.5,82,40,14.97,scattered clouds
184,Champasak,LA,14.75,106.0,79.68,69,90,1.68,overcast clouds
185,Nikolskoye,RU,59.7035,30.7861,44.49,75,83,6.13,broken clouds
186,Mayo,US,38.8876,-76.5119,62.71,87,20,3.44,few clouds
187,Sartell,US,45.6216,-94.2069,58.08,49,0,0.0,clear sky
188,Kempsey,AU,-31.0833,152.8333,65.95,76,94,1.99,light rain
189,Roseau,DM,15.3017,-61.3881,79.12,76,79,11.5,broken clouds
190,Palmer,US,42.1584,-72.3287,58.37,61,75,4.61,broken clouds
191,Alenquer,BR,-1.9417,-54.7383,74.64,97,92,3.53,overcast clouds
192,Castro,BR,-24.7911,-50.0119,55.26,92,5,2.37,clear sky
193,Cairns,AU,-16.9167,145.7667,85.06,74,100,13.8,overcast clouds
194,Tessalit,ML,20.1986,1.0114,87.87,14,100,11.45,overcast clouds
195,Gimli,CA,50.6336,-96.9907,50.02,76,13,4.61,few clouds
196,Wagar,SD,16.1525,36.2032,87.71,48,56,3.71,broken clouds
197,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.76,60,100,11.5,overcast clouds
198,Blagoveshchenka,RU,52.8333,79.8667,57.54,31,48,7.18,scattered clouds
199,Stornoway,GB,58.2093,-6.3865,53.56,94,100,13.8,overcast clouds
200,Balaipungut,ID,1.05,101.2833,82.65,78,91,4.92,overcast clouds
201,Olafsvik,IS,64.8945,-23.7142,35.89,67,30,19.22,scattered clouds
202,Nishihara,JP,26.1842,127.7558,76.68,94,100,5.75,light intensity drizzle
203,Balkhash,KZ,46.844,74.9804,63.21,63,0,4.47,clear sky
204,Khor,RU,47.8861,134.9464,57.56,73,100,18.03,overcast clouds
205,Kirkland Lake,CA,48.1446,-80.0377,44.89,49,28,3.87,scattered clouds
206,Jati,PK,24.3539,68.2671,80.29,65,0,10.94,clear sky
207,Luba,GQ,3.4568,8.5547,79.32,84,100,5.73,moderate rain
208,Mayumba,GA,-3.432,10.6554,77.86,93,100,6.46,overcast clouds
209,Coquimbo,CL,-29.9533,-71.3436,57.83,88,100,2.06,overcast clouds
210,Dryden,CA,49.7833,-92.7503,55.69,38,0,4.61,clear sky
211,Kiruna,SE,67.8557,20.2251,31.12,74,94,11.5,overcast clouds
212,Olinda,BR,-8.0089,-34.8553,82.13,74,40,9.22,scattered clouds
213,Klaksvik,FO,62.2266,-6.589,49.12,95,100,19.95,light rain
214,Kashirskoye,RU,51.4194,39.6125,36.23,70,0,5.86,clear sky
215,Necocli,CO,8.4234,-76.786,76.69,93,100,13.56,overcast clouds
216,Namie,JP,37.4833,141.0,78.55,64,100,1.01,overcast clouds
217,Mar Del Plata,AR,-38.0023,-57.5575,58.87,77,0,8.05,clear sky
218,Oussouye,SN,12.485,-16.5469,75.38,61,2,4.94,clear sky
219,Sivaki,RU,52.6333,126.75,48.29,21,100,18.25,overcast clouds
220,Zatoka,UA,46.0725,30.4654,51.69,71,0,13.73,clear sky
221,Aklavik,CA,68.2191,-135.0107,28.92,86,100,13.0,overcast clouds
222,Yamada,JP,39.4667,141.95,67.51,53,4,12.8,clear sky
223,Nhulunbuy,AU,-12.2333,136.7667,84.81,65,40,20.71,scattered clouds
224,Erenhot,CN,43.6475,111.9767,46.22,20,3,14.47,clear sky
225,Cayenne,GF,4.9333,-52.3333,81.09,1,75,1.99,broken clouds
226,Udachnyy,RU,66.4167,112.4,35.74,100,100,10.96,overcast clouds
227,Braco Do Norte,BR,-28.275,-49.1656,62.56,97,16,2.53,few clouds
228,Fairbanks,US,64.8378,-147.7164,52.14,67,20,1.99,few clouds
229,Leningradskiy,RU,69.3833,178.4167,23.09,88,89,6.67,overcast clouds
230,Pisco,PE,-13.7,-76.2167,63.01,88,0,14.97,clear sky
231,Salinopolis,BR,-0.6136,-47.3561,78.3,87,100,7.49,overcast clouds
232,Isangel,VU,-19.55,169.2667,80.67,70,9,12.88,clear sky
233,Tupelo,US,34.2576,-88.7034,66.49,88,100,9.22,moderate rain
234,Cidreira,BR,-30.1811,-50.2056,63.28,68,63,5.39,broken clouds
235,Ust-Nera,RU,64.5667,143.2,32.68,89,99,7.96,overcast clouds
236,Manbij,SY,36.5281,37.9549,54.03,77,100,8.93,overcast clouds
237,Manta,EC,-0.95,-80.7333,76.78,94,100,3.44,overcast clouds
238,Sompeta,IN,18.9333,84.6,84.2,69,45,1.34,light rain
239,Jyvaskyla,FI,62.2415,25.7209,43.14,61,0,5.75,clear sky
240,Manati,PR,18.4275,-66.4921,79.86,88,30,10.98,scattered clouds
241,Mandurah,AU,-32.55,115.7,64.9,46,0,17.29,clear sky
242,Kirs,RU,59.3388,52.2447,31.3,71,13,7.25,few clouds
243,Tilichiki,RU,60.4667,166.1,31.48,88,100,10.4,overcast clouds
244,Sambava,MG,-14.2667,50.1667,72.66,85,10,8.37,clear sky
245,Miquelon,PM,47.0975,-56.3814,39.61,97,100,8.68,overcast clouds
246,Norman Wells,CA,65.282,-126.8329,37.44,70,75,10.36,broken clouds
247,Wanning,CN,18.8003,110.3967,78.42,89,58,6.02,broken clouds
248,Pochutla,MX,15.7432,-96.4661,79.83,62,0,3.36,clear sky
249,Bako,ET,5.7833,36.5667,62.51,81,87,3.8,overcast clouds
250,Vanavara,RU,60.34,102.2797,46.44,53,100,8.68,overcast clouds
251,Registro,BR,-24.4875,-47.8436,63.57,97,94,0.38,overcast clouds
252,Prainha,BR,-1.8,-53.48,74.26,97,99,2.89,overcast clouds
